epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
70,14417.5,1.89304,1.4294,0.00623,0.65812,0.5209,0.56351,0.28186,1.84852,1.47237,0.00736,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,14621.2,1.86977,1.42103,0.0063,0.6655,0.52632,0.56838,0.28569,1.83973,1.46569,0.00731,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,14825.1,1.86548,1.37797,0.00617,0.65503,0.5331,0.56777,0.28724,1.83448,1.45997,0.00731,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,15029.1,1.84898,1.36557,0.00618,0.65513,0.53292,0.57155,0.28958,1.82571,1.44712,0.00727,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,15232.5,1.85772,1.35628,0.00609,0.65597,0.548,0.57416,0.29158,1.82444,1.44495,0.00728,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,15435.2,1.85112,1.34633,0.00609,0.6724,0.53606,0.57401,0.29167,1.82779,1.43631,0.00727,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,15639.2,1.83099,1.33139,0.00609,0.66788,0.53871,0.57645,0.294,1.82303,1.42899,0.0072,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,15842.7,1.82167,1.30252,0.00609,0.67513,0.54027,0.57865,0.29502,1.81855,1.42582,0.00721,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,16046.3,1.81877,1.30672,0.00595,0.68428,0.53745,0.58126,0.29868,1.81342,1.42107,0.00716,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,16249.9,1.82106,1.29552,0.006,0.68104,0.53601,0.58184,0.29993,1.80854,1.41483,0.00715,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,16453.8,1.80463,1.29288,0.00597,0.67802,0.54626,0.58719,0.30393,1.80174,1.40665,0.00712,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,16657.2,1.79389,1.27221,0.00589,0.67793,0.54609,0.58905,0.30542,1.80108,1.39918,0.00713,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,16860.9,1.78603,1.26441,0.00586,0.67402,0.55014,0.58747,0.30583,1.79324,1.40517,0.00706,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,17065,1.78318,1.26109,0.0058,0.68079,0.54821,0.58839,0.30671,1.78995,1.39752,0.00706,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,17268.9,1.76004,1.23804,0.00575,0.66953,0.55636,0.58834,0.30782,1.78419,1.39932,0.00701,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,17472.5,1.76207,1.22262,0.00578,0.66847,0.55904,0.58926,0.3089,1.7799,1.39502,0.00699,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,17676,1.7589,1.22747,0.00571,0.66995,0.55871,0.59127,0.31027,1.77979,1.39539,0.00698,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
